name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
#fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC-F11 Shabriri,vic_shabriri,Interceptor Drone,Volkov Industries,,,120,15,500,,100,,,450,550,450,250,500,5,OMNI,,90,0,1,,,0,0,,,,,,,,,,,,,,,,,,,
VIC-F25 Asmoday,vic_asmoday,Heavy Shturmfighter,Volkov Industries,,,500,100,1500,,300,,,200,250,150,125,250,15,OMNI,,90,0,1,,,2,2,,,,,,,,,,,,,,,,,,,
VIC-F04 Sonneilon,vic_sonneilon,Artillery Fighter,Volkov Industries,,,350,75,750,,200,,,175,300,200,150,300,10,OMNI,,90,0,1,,,2,2,,,,,,,,,,,,,,,,,,,
VIC-F33 Uvall,vic_uvall,Interceptor Fighter,Volkov Industries,,,200,50,750,,100,,,300,400,300,200,350,8,OMNI,,90,0,1,,,2,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#frigates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC-X14 Nybbas,vic_nybbas,Phase Frigate,Volkov Industries,vic_quantumteleporter,12,1400,350,2500,,450,60,,120,140,100,130,100,150,PHASE,phasecloak,90,,,0.07,0.08,3,0,0,20,1,20,10,50000,8,35,200,0.25,12,12,COMBAT,vic_t2hulls_bp,0.1,0.9,2,2,
VIC-S85 Pruflas,vic_pruflas,Scout Frigate,Volkov Industries,flarelauncher_active,8,1500,150,2000,,300,50,,180,200,200,130,400,100,OMNI,,120,0.4,1,,,4,10,15,25,0.5,50,10,15000,10,10,240,0.25,5,5,,vic_t2hulls_bp,,0.5,2,2,
VIC-B19 Kobal,vic_kobal,Heavy Frigate,Volkov Industries,vic_adaptiveassault,9,2250,250,2400,,300,50,,100,100,60,50,60,250,OMNI,,180,0.4,0.8,,,15,35,40,35,1,35,10,20000,5,20,270,0.25,5,5,,vic_t2hulls_bp,,0.5,2,2,
VIC-A01 Xaphan,vic_xaphan,Shturmfrigate,Volkov Industries,vic_DriftBoost,9,2000,150,2200,,260,55,,165,120,50,120,150,175,OMNI,,90,0.4,1,,,5,20,25,25,1,25,10,20000,6,20,240,0.25,6,6,,vic_t2hulls_bp,,0.5,2,2,
#destroyers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC-C96 Jezebeth,vic_jezebeth,Support Destroyer,Volkov Industries,entropyamplifier,11,3000,350,4500,,500,95,1,95,65,40,30,60,300,OMNI,,90,0.4,0.8,,,60,120,50,50,2,25,9,45000,5,15,350,0.25,11,11,,vic_t2hulls_bp,,0.5,2,2,
VIC-B49 Samael,vic_samael,Heavy Destroyer,Volkov Industries,vic_adaptiveassault,8,3500,400,5500,,500,105,1,60,50,30,30,15,400,OMNI,,180,0.4,0.8,,,55,100,90,90,3,30,9,40000,5,12,420,0.25,9,9,,vic_t2hulls_bp,,0.5,2,3,
VIC-A33 Moloch,vic_moloch,Shturmdestroyer,Volkov Industries,vic_DriftBoost,10,4000,350,5000,,500,110,,105,60,35,35,60,375,OMNI,,90,0.4,1,,,40,90,80,60,2,30,9,45000,5,12,390,0.25,12,12,,vic_t2hulls_bp,,0.5,2,3,
#cruisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC-C67 Cresil,vic_cresil,Carrier Cruiser,Volkov Industries,vic_emergencyDefense,16,5500,500,6000,,250,110,4,60,50,25,20,15,800,OMNI,,90,0.4,0.8,,,150,300,80,75,3,25,8,135000,5,15,390,0.25,25,25,CARRIER,vic_t1hulls_bp,,0.5,2,3,
VIC-B62 Thamuz,vic_thamuz,Heavy Cruiser,Volkov Industries,vic_adaptiveassault,17,7500,700,9000,,900,185,,30,25,15,15,5,2250,OMNI,,180,0.4,0.8,,,200,300,140,140,5,28,8,150000,4,13,540,0.25,25,25,,vic_t1hulls_bp,,0.5,2,3,
VIC-A58 Valafar,vic_valafar,Shturmcruiser,Volkov Industries,vic_DriftBoost,13,6000,600,7000,,750,145,,80,45,25,20,25,800,OMNI,,90,0.4,1,,,120,210,135,90,3,30,9,125000,4,12,510,0.25,20,20,,vic_t1hulls_bp,,0.5,2,3,
#caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC-A71 Apollyon,vic_apollyon,Shturmcapital,Volkov Industries,vic_quantumlunge,35,12000,1000,18000,,1600,400,,55,30,20,10,10,3300,OMNI,,90,0.4,1,,,450,1000,300,300,10,30,8,750000,4,20,660,0.25,65,65,,vic_t1hulls_bp,0.25,0,3,5,
