id,type,text1,text2,text3,text4,notes
#Factions,,,,,,
vic,FACTION,"A core remnant of a ginormous Domain-era megacorporation, now reduced to but a mere fraction of its past power and glory. The Conglomerate, as it is still colloquially known, while diversifying its businesses far and wide, has always been most focused on aerospace engineering and biotechnologies, both of which help them retain a certain level of independence and protection in the turbulent Persean Sector up to this day. And although the prolonged period of total isolation which started after the Collapse and lasted for almost 200 years has put a heavy toll on the company and its people, their re-integration into the interstellar society with the help of Hegemony has been swift and efficient. 

With many regulations annulled and forgotten over these times, The Conglomerate has moved to the usage of its genetic biotechnologies en masse, abandoning the purity of humanity of many of its employees and citizens for efficiency and comfort. While it has only added to an already impressive number of ideological foes and competitors, this, however, attracted just as many supporters, putting the corporation into a relatively stable position on the political arena. 

And despite the company still recuperating under the wing of Hegemony, its historically infamous ruthlessness begins to show already; newly produced fleets haughtily roaming the Sector, passionate transhumanism speeches being given to the populace, and the gaze of the leadership setting hungrily on ever bigger goals.
",,,,
,,,,,,
#fighters,,,,,,
vic_shabriri,SHIP,"VIC-F11 ""Shabriri"" is a blindingly-quick intercepter drone design. Fast, cheap, and numerous, Shabriris were designed as an attempt to compete with common Wasp drones, and to supplement VIC's general lack of point defense emplacements, even despite the Conglomerate's strict, Domain-like policy on automated war machines and artificial intelligences. ",,,,
vic_asmoday,SHIP,"VIC-F25 ""Asmoday"" is a ""Shturmfighter"" - the designation VIC uses for what might be more commonly classified as a corvette. Armed with a Rarog Atomic Emitter, two autocannons, and even a pair of Laidlaw Mass Drivers, the Asmoday is truly a prince among strike craft, able to singlehandedly destroy wings of fighters or pressure full-sized warships. This turned out to be an unpleasant surprise for the Dassault-Mikoyan Engineering forces during the second phase of the Cloud Wars, and upscaled the carnage to the point where both corporations started preparing cruiser and capital class ships for the full-blown war. After that, the Domain officials finally stepped in to stop the unraveling conflict which already engulfed several planets and could prove to end up quite a disaster for the local populace.",,,,
vic_sonneilon,SHIP,"VIC-F04 ""Sonneilon"" is VIC's distinct take on a bomber wing. Rather than using missiles, Sonneilons use a fusion charge to turn a metal projectile into many plasma shards and propel them at high speed at a target. The resulting impact is often enough to overwhelm shields and shred armor, making the Sonneilon a wing that inspires much hatred in those who have survived its barrage. It is somewhat fast for a bomber, but comes with no secondary armaments, so escort craft are recommended.",,,,
vic_uvall,SHIP,"VIC-F33 ""Uvall"" is a heavily-armed and effective interceptor. Rumours persist that Uvall pilots have been genetically modified to experience limited precognition, such is their effectiveness in shutting down enemy ordnance and strike craft. Though of limited use against larger enemy ships, the Uvall is truly a premium alternative to Shabriris.",,,,
,,,,,,
#Ships,,,,,,
#frigates,,,,,,
vic_nybbas,SHIP,"VIC-X04 ""Nybbas"" - ""The Manager of Dreams,"" also dubbed ""The Weaver of Nightmares"" by both its pilots and those who face it in battle. Going beyond all reasonable, this unusual phase hyperfrigate at its core is nothing more but a giant chain of energy systems powering its weaponry, phase coils and teleportation drive. 

Created a couple of years prior to the Collapse as the ultimate ""hunter-assasin"" vessel, the Nybbas project is a great example of why the design bureau should never be given too much budget and freedom in decision-making.

Attempts to fit so much into the smallest possible hull led to the fact that Nybbas is almost completely devoid of any armor, storage, or even crew accomodation; the only logistics consideration was fuel capacity - less than any other Volkov ship. Huge amplitudes of energy surges during flight and active fighting make this ship absolutely unsuitable, dangerous, and sometimes even fatal for long-term piloting.

All crews unlucky enough to be assigned to Nybbas frigates are advised to take significant doses of painkillers and should immediately report any psychological or physiological abnormalities after prolonged combat operations.",,,,
vic_pruflas,SHIP,"VIC-S75 ""Pruflas"" - ""Discord Provoker,"" a reconaissance frigate of novel design with paper-thin armour but unmatched mobility and decent firepower. 

Not entering the service until after the Collapse, Pruflas frigates are the fastest vessels at the megacorp's disposal. Their spectacular speed and impressive fuel-to-distance consumption ratio secured their role not only of the main scouting units, but also of the VICES Department's (VIC Exclusive Solutions) courier ships, capable of quickly delivering valuable information and the so-called ""special gifts"" to the Hegemony's officials, pirate warlords and higher-ups of many other both major and minor powers of the Sector. In many cases such generous signs of goodwill still do not ensure proper cooperation between the addressees and the Conglomerate, but usually it's just enough to forge more stable relations with the higher echelons and to prevent full-fledged military confrontation, even if hatred and disgust towards the megacorp might remain in their fullest among the general population. ",,,,
